"i","User ID","Ensembl Gene ID","Symbol","Gene Type","Species","Chr","Position (Mbp)"
1,"ENSG00000162913","ENSG00000162913","OBSCN-AS1","antisense","Human","1",228.203506
2,"ENSG00000279232","ENSG00000279232","","antisense","Human","5",98.792861
3,"ENSG00000275038","ENSG00000275038","","antisense","Human","5",171.30598
4,"ENSG00000278899","ENSG00000278899","","antisense","Human","6",149.717621
5,"ENSG00000280273","ENSG00000280273","","antisense","Human","8",11.283481
6,"ENSG00000250091","ENSG00000250091","DNAH10OS","antisense","Human","12",123.925461
7,"ENSG00000280080","ENSG00000280080","TBC1D22A-AS1","antisense","Human","22",46.914092
8,"ENSG00000263140","ENSG00000263140","C21orf62-AS1","antisense","Human","CHR_HSCHR21_3_CTG1_1",32.7721
9,"ENSG00000279317","ENSG00000279317","","bidirectional_promoter_lncRNA","Human","2",210.171518
10,"ENSG00000198496","ENSG00000198496","NBR2","bidirectional_promoter_lncRNA","Human","17",43.12561
11,"ENSG00000211592","ENSG00000211592","IGKC","IG_C_gene","Human","2",88.857161
12,"ENSG00000211890","ENSG00000211890","IGHA2","IG_C_gene","Human","14",105.583731
13,"ENSG00000211891","ENSG00000211891","IGHE","IG_C_gene","Human","14",105.597691
14,"ENSG00000211892","ENSG00000211892","IGHG4","IG_C_gene","Human","14",105.620506
15,"ENSG00000211893","ENSG00000211893","IGHG2","IG_C_gene","Human","14",105.639559
16,"ENSG00000211895","ENSG00000211895","IGHA1","IG_C_gene","Human","14",105.703995
17,"ENSG00000211896","ENSG00000211896","IGHG1","IG_C_gene","Human","14",105.736343
18,"ENSG00000211897","ENSG00000211897","IGHG3","IG_C_gene","Human","14",105.764503
19,"ENSG00000211898","ENSG00000211898","IGHD","IG_C_gene","Human","14",105.836765
20,"ENSG00000211899","ENSG00000211899","IGHM","IG_C_gene","Human","14",105.851705
21,"ENSG00000211675","ENSG00000211675","IGLC1","IG_C_gene","Human","22",22.895375
22,"ENSG00000211677","ENSG00000211677","IGLC2","IG_C_gene","Human","22",22.900976
23,"ENSG00000211679","ENSG00000211679","IGLC3","IG_C_gene","Human","22",22.906342
24,"ENSG00000211685","ENSG00000211685","IGLC7","IG_C_gene","Human","22",22.922594
25,"ENSG00000276173","ENSG00000276173","IGHA2","IG_C_gene","Human","CHR_HSCHR14_3_CTG1",105.588247
26,"ENSG00000276192","ENSG00000276192","IGHE","IG_C_gene","Human","CHR_HSCHR14_3_CTG1",105.600717
27,"ENSG00000277016","ENSG00000277016","IGHG4","IG_C_gene","Human","CHR_HSCHR14_3_CTG1",105.625112
28,"ENSG00000274497","ENSG00000274497","IGHG2","IG_C_gene","Human","CHR_HSCHR14_3_CTG1",105.643841
29,"ENSG00000282633","ENSG00000282633","IGHA1","IG_C_gene","Human","CHR_HSCHR14_3_CTG1",105.707889
30,"ENSG00000277633","ENSG00000277633","IGHG1","IG_C_gene","Human","CHR_HSCHR14_3_CTG1",105.737114
31,"ENSG00000282184","ENSG00000282184","IGHG3","IG_C_gene","Human","CHR_HSCHR14_3_CTG1",105.769875
32,"ENSG00000278801","ENSG00000278801","IGHD","IG_C_gene","Human","CHR_HSCHR14_3_CTG1",105.837536
33,"ENSG00000282657","ENSG00000282657","IGHM","IG_C_gene","Human","CHR_HSCHR14_3_CTG1",105.854991
34,"ENSG00000254017","ENSG00000254017","IGHEP2","IG_C_pseudogene","Human","9",5.113549
35,"ENSG00000253755","ENSG00000253755","IGHGP","IG_C_pseudogene","Human","14",105.664633
36,"ENSG00000253692","ENSG00000253692","IGHEP1","IG_C_pseudogene","Human","14",105.721794
37,"ENSG00000265243","ENSG00000265243","IGLJCOR18","IG_C_pseudogene","Human","18",3.394889
38,"ENSG00000254029","ENSG00000254029","IGLC4","IG_C_pseudogene","Human","22",22.910828
39,"ENSG00000254030","ENSG00000254030","IGLC5","IG_C_pseudogene","Human","22",22.915635
40,"ENSG00000222037","ENSG00000222037","IGLC6","IG_C_pseudogene","Human","22",22.919535
41,"ENSG00000254127","ENSG00000254127","IGLCOR22-1","IG_C_pseudogene","Human","22",32.199919
42,"ENSG00000271093","ENSG00000271093","IGLCOR22-2","IG_C_pseudogene","Human","22",32.356676
43,"ENSG00000282094","ENSG00000282094","IGHGP","IG_C_pseudogene","Human","CHR_HSCHR14_3_CTG1",105.665404
44,"ENSG00000281947","ENSG00000281947","IGHEP1","IG_C_pseudogene","Human","CHR_HSCHR14_3_CTG1",105.722565
